ra,ano,fase,fase_ideal,defasagem,pedra,inde,iaa,ieg,ips,ipp,ida,ipv,ian,nota_mat,nota_por,nota_ing,genero,idade,ano_ingresso,instituicao_ensino,indicado_bolsa,atingiu_pv,num_avaliacoes,defasagem_cat,risco_defasagem
RA-109,2022,4,6,-2,Topázio,8.512,8.8,10.0,8.8,,8.4,8.667,5.0,7.8,7.5,9.9,Masculino,16.0,2021,Rede Decisão,Não,Sim,4.0,Severa,1
RA-110,2022,4,4,0,Topázio,8.15,9.2,9.7,5.6,,6.7,8.0,10.0,8.3,5.7,6.0,Masculino,14.0,2017,Rede Decisão,Não,Não,4.0,Em fase/Avancado,0
RA-111,2022,4,3,1,Topázio,8.646,7.5,9.4,8.1,,8.0,8.667,10.0,6.7,7.5,9.7,Feminino,13.0,2020,Rede Decisão,Não,Sim,4.0,Em fase/Avancado,0
RA-112,2022,4,5,-1,Ametista,7.836,7.9,7.8,6.3,,8.5,8.833,5.0,9.0,7.5,9.1,Feminino,15.0,2016,Rede Decisão,Não,Sim,4.0,Moderada,1
RA-113,2022,4,5,-1,Quartzo,3.032,0.0,0.0,5.0,,3.7,3.792,5.0,3.3,5.5,2.3,Feminino,15.0,2017,Rede Decisão,Não,Não,4.0,Moderada,1
RA-114,2022,4,6,-2,Quartzo,5.894,7.9,6.3,7.5,,5.3,5.0,5.0,6.0,4.5,,Masculino,16.0,2022,Escola Pública,Não,Não,4.0,Severa,1
RA-115,2022,4,6,-2,Quartzo,5.886,8.3,6.8,6.3,,3.8,5.583,5.0,3.0,5.7,2.7,Feminino,16.0,2019,Escola Pública,Não,Não,4.0,Severa,1
RA-116,2022,4,6,-2,Ágata,6.854,5.8,8.1,6.3,,5.9,7.792,5.0,5.0,7.2,5.5,Feminino,16.0,2019,Escola Pública,Sim,Não,4.0,Severa,1
RA-117,2022,4,5,-1,Ágata,6.685,7.9,6.3,6.9,,6.1,7.417,5.0,4.7,6.7,7.0,Feminino,15.0,2022,Escola Pública,Não,Não,4.0,Moderada,1
RA-118,2022,4,4,0,Quartzo,5.597,0.0,5.3,6.3,,3.9,6.958,10.0,3.7,4.7,3.5,Feminino,14.0,2021,Escola Pública,Não,Não,4.0,Em fase/Avancado,0
RA-119,2022,4,4,0,Ametista,7.501,8.3,8.2,5.6,,5.4,7.875,10.0,5.7,7.0,3.4,Feminino,14.0,2016,Rede Decisão,Não,Não,4.0,Em fase/Avancado,0
RA-120,2022,4,5,-1,Ágata,6.825,8.3,5.9,7.5,,6.2,7.667,5.0,3.7,5.2,9.7,Masculino,15.0,2019,Escola Pública,Sim,Não,4.0,Moderada,1
RA-121,2022,4,6,-2,Ametista,7.245,7.1,8.4,6.3,,7.2,7.625,5.0,5.7,6.8,9.0,Feminino,16.0,2021,Escola Pública,Sim,Não,4.0,Severa,1
RA-122,2022,4,4,0,Quartzo,5.061,7.9,3.4,7.5,,1.8,4.958,10.0,1.7,3.7,0.0,Feminino,14.0,2019,Escola Pública,Não,Não,4.0,Em fase/Avancado,0
RA-123,2022,4,6,-2,Ametista,7.084,7.9,8.6,5.6,,6.5,7.292,5.0,7.3,6.3,5.9,Masculino,16.0,2017,Rede Decisão,Não,Não,4.0,Severa,1
RA-124,2022,4,4,0,Ametista,7.388,7.9,7.8,5.0,,6.7,7.167,10.0,5.7,7.0,7.5,Masculino,14.0,2016,Rede Decisão,Não,Não,4.0,Em fase/Avancado,0
RA-125,2022,4,5,-1,Ametista,7.619,8.8,8.5,7.5,,7.1,7.75,5.0,5.0,7.2,9.2,Feminino,15.0,2022,Escola Pública,Sim,Não,4.0,Moderada,1
